Name,Age,Tm,WS,WS/48,Season,Surname,First Name,PlayerID
Mark Acres,27.0,ORL,1.6,0.047,1989-90,Acres,Mark,10
Mark Acres,28.0,ORL,2.5,0.09,1990-91,Acres,Mark,10
Mark Acres,29.0,ORL,1.9,0.09699999999999999,1991-92,Acres,Mark,10
Mark Acres,30.0,TOT,0.3,0.055999999999999994,1992-93,Acres,Mark,10
Mark Acres,30.0,HOU,-0.1,-0.165,1992-93,Acres,Mark,10
Mark Acres,30.0,WSB,0.4,0.077,1992-93,Acres,Mark,10
Quincy Acy,22.0,TOR,1.1,0.157,2012-13,Acy,Quincy,11
Quincy Acy,23.0,TOT,1.5,0.086,2013-14,Acy,Quincy,11
Quincy Acy,23.0,TOR,0.2,0.188,2013-14,Acy,Quincy,11
Quincy Acy,23.0,SAC,1.3,0.078,2013-14,Acy,Quincy,11
Quincy Acy,24.0,NYK,1.7,0.063,2014-15,Acy,Quincy,11
Quincy Acy,25.0,SAC,2.5,0.13699999999999998,2015-16,Acy,Quincy,11
Quincy Acy,26.0,TOT,0.9,0.08199999999999999,2016-17,Acy,Quincy,11
Quincy Acy,26.0,DAL,-0.1,-0.133,2016-17,Acy,Quincy,11
Quincy Acy,26.0,BRK,1.1,0.102,2016-17,Acy,Quincy,11
Alvan Adams,26.0,PHO,7.7,0.18,1980-81,Adams,Alvan,12
Alvan Adams,27.0,PHO,7.2,0.14400000000000002,1981-82,Adams,Alvan,12
Alvan Adams,28.0,PHO,6.5,0.128,1982-83,Adams,Alvan,12
Alvan Adams,29.0,PHO,3.3,0.109,1983-84,Adams,Alvan,12
Alvan Adams,30.0,PHO,6.8,0.152,1984-85,Adams,Alvan,12
Alvan Adams,31.0,PHO,3.9,0.094,1985-86,Adams,Alvan,12
Alvan Adams,32.0,PHO,2.8,0.079,1986-87,Adams,Alvan,12
Alvan Adams,33.0,PHO,2.2,0.064,1987-88,Adams,Alvan,12
Hassan Adams,22.0,NJN,1.0,0.095,2006-07,Adams,Hassan,13
Hassan Adams,24.0,TOR,-0.2,-0.14400000000000002,2008-09,Adams,Hassan,13
Jordan Adams,20.0,MEM,0.4,0.073,2014-15,Adams,Jordan,15
Jordan Adams,21.0,MEM,0.0,0.015,2015-16,Adams,Jordan,15
Michael Adams,23.0,SAC,-0.1,-0.027999999999999997,1985-86,Adams,Michael,16
Michael Adams,24.0,WSB,2.7,0.099,1986-87,Adams,Michael,16
Michael Adams,25.0,DEN,7.5,0.13,1987-88,Adams,Michael,16
Michael Adams,26.0,DEN,8.3,0.14300000000000002,1988-89,Adams,Michael,16
Michael Adams,27.0,DEN,6.9,0.124,1989-90,Adams,Michael,16
Michael Adams,28.0,DEN,6.3,0.128,1990-91,Adams,Michael,16
Michael Adams,29.0,WSB,5.3,0.09,1991-92,Adams,Michael,16
Michael Adams,30.0,WSB,4.6,0.08800000000000001,1992-93,Adams,Michael,16
Michael Adams,31.0,WSB,3.1,0.063,1993-94,Adams,Michael,16
Michael Adams,32.0,CHH,1.6,0.16899999999999998,1994-95,Adams,Michael,16
Michael Adams,33.0,CHH,0.8,0.11699999999999999,1995-96,Adams,Michael,16
Steven Adams,20.0,OKC,2.9,0.114,2013-14,Adams,Steven,17
Steven Adams,21.0,OKC,4.1,0.111,2014-15,Adams,Steven,17
Steven Adams,22.0,OKC,6.5,0.155,2015-16,Adams,Steven,17
Steven Adams,23.0,OKC,6.4,0.13,2016-17,Adams,Steven,17
Rafael Addison,22.0,PHO,0.4,0.024,1986-87,Addison,Rafael,18
Rafael Addison,27.0,NJN,1.5,0.063,1991-92,Addison,Rafael,18
Rafael Addison,28.0,NJN,0.9,0.038,1992-93,Addison,Rafael,18
Rafael Addison,30.0,DET,1.5,0.04,1994-95,Addison,Rafael,18
Rafael Addison,31.0,CHH,0.2,0.019,1995-96,Addison,Rafael,18
Rafael Addison,32.0,CHH,0.4,0.048,1996-97,Addison,Rafael,18
Jeff Adrien,24.0,GSW,0.2,0.051,2010-11,Adrien,Jeff,21
Jeff Adrien,25.0,HOU,0.1,0.106,2011-12,Adrien,Jeff,21
Jeff Adrien,26.0,CHA,1.0,0.064,2012-13,Adrien,Jeff,21
Jeff Adrien,27.0,TOT,2.7,0.134,2013-14,Adrien,Jeff,21
Jeff Adrien,27.0,CHA,0.9,0.17,2013-14,Adrien,Jeff,21
Jeff Adrien,27.0,MIL,1.8,0.121,2013-14,Adrien,Jeff,21
Jeff Adrien,28.0,MIN,0.4,0.087,2014-15,Adrien,Jeff,21
Arron Afflalo,22.0,DET,1.9,0.092,2007-08,Afflalo,Arron,22
Arron Afflalo,23.0,DET,1.8,0.069,2008-09,Afflalo,Arron,22
Arron Afflalo,24.0,DEN,4.3,0.092,2009-10,Afflalo,Arron,22
Arron Afflalo,25.0,DEN,6.2,0.128,2010-11,Afflalo,Arron,22
Arron Afflalo,26.0,DEN,5.3,0.121,2011-12,Afflalo,Arron,22
Arron Afflalo,27.0,ORL,2.0,0.042,2012-13,Afflalo,Arron,22
Arron Afflalo,28.0,ORL,5.3,0.099,2013-14,Afflalo,Arron,22
Arron Afflalo,29.0,TOT,2.6,0.05,2014-15,Afflalo,Arron,22
Arron Afflalo,29.0,DEN,1.8,0.05,2014-15,Afflalo,Arron,22
Arron Afflalo,29.0,POR,0.8,0.049,2014-15,Afflalo,Arron,22
Arron Afflalo,30.0,NYK,2.7,0.055,2015-16,Afflalo,Arron,22
Arron Afflalo,31.0,SAC,1.4,0.043,2016-17,Afflalo,Arron,22
Maurice Ager,22.0,DAL,-0.3,-0.06,2006-07,Ager,Maurice,23
Maurice Ager,23.0,TOT,-0.4,-0.114,2007-08,Ager,Maurice,23
Maurice Ager,23.0,DAL,-0.3,-0.18100000000000002,2007-08,Ager,Maurice,23
Maurice Ager,23.0,NJN,-0.1,-0.055999999999999994,2007-08,Ager,Maurice,23
Maurice Ager,24.0,NJN,-0.3,-0.133,2008-09,Ager,Maurice,23
