Pos,Position,
G,Games,
GS,Games Started,
MP,Minutes Played,
FG,Field Goals Per Game,
FGA,,
FG%,,
3P,,
3PA,,
3P%,,
2P,,
2PA,,
2P%,,
eFG%,,
FT,,
FTA,,
FT%,,
ORB,Offensive RB,
TRB,Total RB,
AST,Assist,
STL,Steal,
BLK,Block,
TOV,Turnover,
PF,Personal Fouls,
PTS,Points Per Game,
